Year,Event
2014,"To begin with,\nCity Y emerged with a population of 10 thousand"
2015,"Then, it had 20 thousand citizens in 2015"
2016,"Then, the mayor began to stimulate the economy"
2017,"Then, more job were created and more immigrants came"
2018,"Then, economic growth led to better healthcare\nand less death rate"
2019,"Then, the population was 400 thousand"
2020,"Then, City Y has a population of 800 thousand"
2021,"Then, experts predict that the population\nwill continue to increase"
2022,"Then, the population will pass 2000 thousand by 2022"
2023,"Then, the bigger population will\nmake the city keep expanding"
2024,"Then, the population will\npass 4000 thousand by 2024"
2025,"At last,\nit will become a giant city in 2025"
