Year,Event
16:00,"At 16:00, Z was punched to death during a fight"
15:00,"Before, he had a fight with the robber"
14:00,"Before, he rushed home"
13:00,"Before, he received a call from his neighbor who saw a\nman broke into his house"
12:00,"Before, he had a lunch"
11:00,"Before, he was busy at work"
10:00,"Before, he went to work"
16:00,"On the other hand, what happened after 16:00?"
17:00,"At 17:00, the robber locked the door and ran away"
18:00,"Then, a friend of Z called him, but never answered"
19:00,"Then, the friend decided to find Z at his house but it\nwas locked"
20:00,"Then, the friend called the police"
21:00,"At last, Z was found dead in his house"
