Year,Event
10:00,"To start with, Z went to work"
11:00,"Then, he was busy at work"
12:00,"Then, he had a lunch"
13:00,"Then, he received a call from his neighbor who saw a\nman broke into his house"
14:00,"Then, he rushed home"
15:00,"Then, he had a fight with the robber"
16:00,"Then, during the fight, Z was punched to death"
17:00,"Then, the robber locked the door and ran away"
18:00,"Then, a friend of Z called him, but never answered"
19:00,"Then, the friend decided to find Z at his house but it\nwas locked"
20:00,"Then, the friend called the police"
21:00,"At last, Z was found dead in his house"
10:00,"To sum up, Z went to work"
21:00,"However finally Z was found dead in his house"
