Year,Event
2020,"Now, City Y has a population of 800 thousand"
2019,"Before, the population was 400 thousand"
2018,"Before, economic growth led to better healthcare and\nless death rate"
2017,"Before, more jobs were created and more immigrants\ncame"
2016,"Before, the mayor began to stimulate the economy"
2015,"Before, it had 20 thousand citizens"
2014,"Before, City Y emerged with a population of 10\nthousand"
2020,"On the other hand, how about the future?"
2021,"Then, experts predict that the population will\ncontinue to increase"
2022,"Then, the population will pass 2 million"
2023,"Then, the bigger population will make the city keep\nexpanding"
2024,"Then, the population will pass 4 million"
2025,"At last, it will become a megacity"
