Year,Event
2025,"In 2025, City Y will become a megacity. How could\nthis happen? Let's go back to the beginning"
2014,"To begin with, City Y emerged with a population of\n10 thousand"
2015,"Then, it had 20 thousand citizens"
2016,"Then, the mayor began to stimulate the economy"
2017,"Then, more jobs were created and more immigrants\ncame"
2018,"Then, economic growth led to better healthcare and\nless death rate"
2019,"Then, the population was 400 thousand"
2020,"Then, City Y has a population of 800 thousand"
2021,"Then, experts predict that the population will\ncontinue to increase"
2022,"Then, the population will pass 2 million"
2023,"Then, the bigger population will make the city keep\nexpanding"
2024,"Then, the population will pass 4 million"
2025,"At last, it will become a megacity"
