Year,Event
2020,"Now, City Y has a population of 800 thousand,/nHow about before?"
2019,"Before, the population was 400 thousand"
2018,"Before, economic growth led to better healthcare\nand less death rate"
2017,"Before, more job were created and more immigrants came"
2016,"Before, the mayor began to stimulate the economy"
2015,"Before, it had 20 thousand citizens in 2015"
2014,"Before, City Y emerged with a population of 10 thousand"
2020,"On the other hand, how about the future?"
2021,"Then, experts predict that the population\nwill continue to increase"
2022,"Then, the population will pass 2000 thousand by 2022"
2023,"Then, the bigger population will\nmake the city keep expanding"
2024,"Then, the population will\npass 4000 thousand by 2024"
2025,"At last,\nit will become a giant city in 2025"
