Year,Event
2009,"To begin with, a 20-year-old young man started a\n clothing company called Company X"
2010,"Then, Company X expanded its market quickly in 2010"
2011,"Then, Company X got a 40 million investment"
2012,"Then, Company X owned 2000 stores in 50 cities"
2013,"Then, Company X  owened 6000 stores across the country\neven in small counties"
2014,"Then, Company X owned about 9000 stores\nand had an income over 10 billion"
2015,"Then, Company X ranked as the\nbiggest company in the clothing market"
2016,"Then, the clothing market began to shrink\ndue to the rise of E-commerce"
2017,"Then, the sales of Company X decreased nearly 1/4"
2018,"Then, Company X was stuck in great debt\ndue to its overstocked commodities"
2019,"Then, Company X shut down 2400 stores"
2020,"At last, Company X declared bankrupcy\nunder the strike of coronavirus"
